Filename,Tag,Purpose,Section,Usage
Group shot (aso-ebi queens together) (4).jpeg,gallery-aso-ebi,Group showcase,Gallery,Additional aso-ebi group
Lace texture detail 2.jpeg,craft-material,Fabric detail,Craft Section,Lace texture alternate
Hand-stitchingembroidery detail.jpeg,craft-embroidery,Detail work,Craft Section,Embroidery work
Owambe celebration moment (2).jpeg,collection-gala,Event collection,Collections,Gala event alternate
Owambe celebration moment (3).jpeg,collection-gala,Event collection,Collections,Gala event alternate
Owambe celebration moment (4).jpeg,collection-gala,Event collection,Collections,Gala event alternate
nigerian weddings (1).jpeg,lifestyle-wedding,Wedding lifestyle,Lifestyle,General wedding content
nigerian weddings (1).png,lifestyle-wedding,Wedding lifestyle,Lifestyle,General wedding content
nigerian weddings (2).jpeg,lifestyle-wedding,Wedding lifestyle,Lifestyle,General wedding content
nigerian weddings (3).jpeg,lifestyle-wedding,Wedding lifestyle,Lifestyle,General wedding content
nigerian weddings (4).jpeg,lifestyle-wedding,Wedding lifestyle,Lifestyle,General wedding content
nigerian weddings (5).jpeg,lifestyle-wedding,Wedding lifestyle,Lifestyle,General wedding content
nigerian weddings (6).jpeg,lifestyle-wedding,Wedding lifestyle,Lifestyle,General wedding content
nigerian weddings (7).jpeg,lifestyle-wedding,Wedding lifestyle,Lifestyle,General wedding content
nigerian weddings (8).jpeg,lifestyle-wedding,Wedding lifestyle,Lifestyle,General wedding content
nigerian weddings (9).jpeg,lifestyle-wedding,Wedding lifestyle,Lifestyle,General wedding content
nigerian weddings (10).jpeg,lifestyle-wedding,Wedding lifestyle,Lifestyle,General wedding content
nigerian weddings (11).jpeg,lifestyle-wedding,Wedding lifestyle,Lifestyle,General wedding content
nigerian weddings (12).jpeg,lifestyle-wedding,Wedding lifestyle,Lifestyle,General wedding content
nigerian weddings (13).jpeg,lifestyle-wedding,Wedding lifestyle,Lifestyle,General wedding content
nigerian weddings (14).jpeg,lifestyle-wedding,Wedding lifestyle,Lifestyle,General wedding content
nigerian weddings (15).jpeg,lifestyle-wedding,Wedding lifestyle,Lifestyle,General wedding content
nigerian weddings (16).jpeg,lifestyle-wedding,Wedding lifestyle,Lifestyle,General wedding content
nigerian weddings (17).jpeg,lifestyle-wedding,Wedding lifestyle,Lifestyle,General wedding content
nigerian weddings (18).jpeg,lifestyle-wedding,Wedding lifestyle,Lifestyle,General wedding content
nigerian weddings (19).jpeg,lifestyle-wedding,Wedding lifestyle,Lifestyle,General wedding content
nigerian weddings (20).jpeg,lifestyle-wedding,Wedding lifestyle,Lifestyle,General wedding content
Aso Oke bundles for wedding dress high quality cotton aso oke.jpeg,craft-material,Fabric detail,Craft Section,Aso-Oke material showcase
Close-up of elaborate beaded necklace or detailed gele.jpeg,craft-embellishment,Detail work,Lifestyle,Detailed embellishment showcase
Dressing roommirror moment (1).jpeg,lifestyle-fitting,Fitting room,Lifestyle,Fitting experience
Dressing roommirror moment (2).jpeg,lifestyle-fitting,Fitting room,Lifestyle,Fitting experience
Engagement ceremony gathering.jpeg,lifestyle-event,Event gathering,Lifestyle,Engagement celebration
Fabric flowingdramatic movement.jpeg,craft-material,Fabric detail,Craft Section,Fabric movement showcase
Fitting session moment.png,lifestyle-fitting,Fitting room,Lifestyle,Fitting session
Gele catching light.jpeg,craft-embellishment,Detail work,Lifestyle,Gele detail showcase
Luxury living space with couture pieces.jpeg,lifestyle-luxury,Luxury lifestyle,Lifestyle,Luxury styling
Sewingcraftsmanship in progress.jpeg,bts-craftsmanship,Behind scenes,Behind-the-Scenes,Sewing in progress
Studio workspace 2.png,bts-studio,Behind scenes,Behind-the-Scenes,Studio workspace alternate
Traditional Nigerian elements (gele, coral beads) (1).jpeg,lifestyle-cultural,Cultural elements,Lifestyle,Traditional elements
Traditional Nigerian elements (gele, coral beads) (2).jpeg,lifestyle-cultural,Cultural elements,Lifestyle,Traditional elements
Untitled design (3).png,lifestyle-other,Miscellaneous,Lifestyle,General design asset
Woman walkingmodel in motion (wearing couture).png,lifestyle-model,Model showcase,Lifestyle,Woman in motion
